,File_List,Header,Text
94,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_49.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (3)_50.png']",ACCOUNTANTS-PUBLIG-CONTD,Piccerelli Gilstein & Co 144 Westminster St 3d F1
95,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_2.png'],ACCOUNTANTS-PUBLIC-CONTD,Pritsker & Block 111 Westminster St Rm 1235
96,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_4.png']",ACCOUNTANTS-PUBLIC-CONTD,Radcliffe And Co Rear 1410 Mineral Spring Av(N Prov)
97,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_5.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_6.png']",ACCOUNTANTS-PUBLIC-CONTD,Ricapito Michl P 1480 Mineral Spring Av(N Prov)
98,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_7.png'],ACCOUNTANTS-PUBLIC-CONTD,Rogers Ellis R 184 Vemdale Av
99,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_8.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_9.png']",ACCOUNTANTS-PUBLIC-CONTD,Roiff Herbert A & Co 170 Westminster St Rm 700
100,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_10.png'],ACCOUNTANTS-PUBLIC-CONTD,Ross Joslin 44 Warren St
101,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_11.png'],ACCOUNTANTS-PUBLIC-CONTD,"Rouslin Edw 86 Weybosset St -."".m 406"
102,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_12.png'],ACCOUNTANTS-PUBLIC-CONTD,S-S Accounting 344 Wickenden St
103,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_13.png'],ACCOUNTANTS-PUBLIC-CONTD,Sansiveri Jerry 111 Westminster St Rm 1030
104,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_14.png'],ACCOUNTANTS-PUBLIC-CONTD,Satloff Morris 501 Angell St
105,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_15.png'],ACCOUNTANTS-PUBLIC-CONTD,Scadera Michl A 58 Weybosset St Rm 703
106,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_16.png'],ACCOUNTANTS-PUBLIC-CONTD,Scanlon Bernard A 147 Hilary Dr
107,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_17.png'],ACCOUNTANTS-PUBLIC-CONTD,Schwartz Harold 501 Angell St
108,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_18.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_19.png']",ACCOUNTANTS-PUBLIC-CONTD,Seplocha John 1330 Mineral Spring Av(N Prov)
109,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_20.png'],ACCOUNTANTS-PUBLIC-CONTD,Short Edw 566 Smith St
110,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_21.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_22.png']",ACCOUNTANTS-PUBLIC-CONTD,Sibilia Edith M Mrs Rear 1410 Mineral Spring Av(N Prov)
111,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_23.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_24.png']",ACCOUNTANTS-PUBLIC-CONTD,Sisto Turose Maccarone & Proia 170 Westminster St Rm 702
112,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_25.png'],ACCOUNTANTS-PUBLIC-CONTD,Sullivan John F 147 Power St
113,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_26.png'],ACCOUNTANTS-PUBLIC-CONTD,Tabulex 36 Kennedy Plaza Rm 516
114,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_27.png'],ACCOUNTANTS-PUBLIC-CONTD,Yarlas Steph 501 Angell St
115,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_28.png'],ACCOUNTANTS-PUBLIC-CONTD,Young Arth & Co 111 Westminster St 824
116,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_29.png'],ACCOUNTANTS-PUBLIC-CONTD,Zelano Richd R 500 Broadway
117,['test/no_ads/margins_fixed/cropped/entry/1978_Page_52 (1)_32.png'],*ACOUSTICAL CONTRACTORS,G T SAFETY EQUIPMENT INC
